Index,Formatted Author(s) and Year,Publication Year,Citation Count,Journal Name,Article Title,Additional Data,Full Citation
128,MM Bakhtiar et al. (2023),2023,15,Journal of Development Economics,Social and financial incentives for overcoming a collective action problem,,"MM Bakhtiar, RP Guiteras, J Levinsohn (2023). Social and financial incentives for overcoming a collective action problem. … Development Economics."
129,M Fracchia et al. (2023),2023,8,Journal of Development Economics,Motivating volunteer health workers in an african capital city,,"M Fracchia, T Molina-Millán, PC Vicente (2023). Motivating volunteer health workers in an african capital city. … of Development Economics."
130,M Chegere et al. (2024),2024,0,Journal of Development Economics,Social ties at work and effort choice: Experimental evidence from Tanzania,,"M Chegere, P Falco, A Menzel (2024). Social ties at work and effort choice: Experimental evidence from Tanzania. Journal of Development Economics."
131,JI Steinert et al. (2018),2018,40,Journal of Development Economics,Household economic strengthening through financial and psychosocial programming: evidence from a field experiment in South Africa,,"JI Steinert, LD Cluver, F Meinck, J Doubt (2018). Household economic strengthening through financial and psychosocial programming: evidence from a field experiment in South Africa. … Development Economics."
132,M Callen et al. (2020),2020,75,Journal of Development Economics,Data and policy decisions: Experimental evidence from Pakistan,,"M Callen, S Gulzar, A Hasanain, MY Khan (2020). Data and policy decisions: Experimental evidence from Pakistan. … Development Economics."
133,YJ Chen et al. (2018),2018,481,Journal of Development Economics,Career concerns and multitasking local bureaucrats: Evidence of a target-based performance evaluation system in China,,"YJ Chen, P Li, Y Lu (2018). Career concerns and multitasking local bureaucrats: Evidence of a target-based performance evaluation system in China. Journal of Development Economics."
134,J Berry et al. (2022),2022,5,Journal of Development Economics,When student incentives do not work: Evidence from a field experiment in Malawi,,"J Berry, HB Kim, HH Son (2022). When student incentives do not work: Evidence from a field experiment in Malawi. Journal of Development Economics."
135,A Edmans et al. (2023),2023,92,Journal of Financial Economics,CEO compensation: Evidence from the field,,"A Edmans, T Gosling, D Jenter (2023). CEO compensation: Evidence from the field. Journal of Financial Economics."
136,J Sunder et al. (2017),2017,532,Journal of Financial Economics,Pilot CEOs and corporate innovation,,"J Sunder, SV Sunder, J Zhang (2017). Pilot CEOs and corporate innovation. Journal of financial economics."
137,S Ha et al. (2024),2024,15,Journal of Financial Economics,Motivating collusion,,"S Ha, F Ma, A Žaldokas (2024). Motivating collusion. Journal of Financial Economics."
138,GCL Chien et al. (2020),2020,202,Journal of Human Resources,The effect of work motivation on employee performance: Empirical evidence from 4-star hotels in Mongolia,,"GCL Chien, I Mao, E Nergui (2020). The effect of work motivation on employee performance: Empirical evidence from 4-star hotels in Mongolia. … of Human Resources in …."
139,P Misra et al. (2013),2013,61,Journal of Human Resources,Compensation: impact of rewards and organisational justice on turnover intentions and the role of motivation and job satisfaction: a study of retail store operations in …,,"P Misra, S Jain, A Sood (2013). Compensation: impact of rewards and organisational justice on turnover intentions and the role of motivation and job satisfaction: a study of retail store operations in …. … Journal of Human Resources …."
140,GL O'Neill (1995),1995,37,Journal of Human Resources,Linking Pay to Performance: Conflicting Views and Conficting Evidence,,GL O'Neill (1995). Linking Pay to Performance: Conflicting Views and Conficting Evidence. Asia Pacific Journal of Human Resources.
141,RA Mitalo (2018),2018,1,Journal of Human Resources,"Employee Compensation, Supervisor Support and Performance of Academic Staff in Kenyan Chartered Public Universities",,"RA Mitalo (2018). Employee Compensation, Supervisor Support and Performance of Academic Staff in Kenyan Chartered Public Universities. Journal of Human Resources Management and Labor …."
142,F Barrera-Osorio et al. (2016),2016,66,Journal of Human Resources,Incentivizing schooling for learning: Evidence on the impact of alternative targeting approaches,,"F Barrera-Osorio, D Filmer (2016). Incentivizing schooling for learning: Evidence on the impact of alternative targeting approaches. Journal of Human Resources."
143,AJ Hill et al. (2020),2020,51,Journal of Human Resources,The impacts of performance pay on teacher effectiveness and retention: Does teacher gender matter?,,"AJ Hill, DB Jones (2020). The impacts of performance pay on teacher effectiveness and retention: Does teacher gender matter?. Journal of Human Resources."
144,MGG Hemakumara (2020),2020,51,Journal of Human Resources,The impact of motivation on job performance: A review of literature,,MGG Hemakumara (2020). The impact of motivation on job performance: A review of literature. Journal of Human Resources Management ….
145,D Filmer et al. (2023),2023,14,Journal of Human Resources,Teacher performance-based incentives and learning inequality,,"D Filmer, J Habyarimana, S Sabarwal (2023). Teacher performance-based incentives and learning inequality. … of Human Resources."
146,KP Kuchinke et al. (2011),2011,65,Journal of Human Resources,Work meaning among mid‐level professional employees: A study of the importance of work centrality and extrinsic and intrinsic work goals in eight countries,,"KP Kuchinke, A Ardichvili, M Borchert (2011). Work meaning among mid‐level professional employees: A study of the importance of work centrality and extrinsic and intrinsic work goals in eight countries. … of Human Resources."
147,A Zopiatis et al. (2018),2018,45,Journal of Human Resources,Career satisfaction and future intentions in the hospitality industry: An intrinsic or an extrinsic proposition?,,"A Zopiatis, AL Theocharous (2018). Career satisfaction and future intentions in the hospitality industry: An intrinsic or an extrinsic proposition?. … of Human Resources in …."
148,P Boxall et al. (2003),2003,271,Journal of Human Resources,Labour turnover and retention in New Zealand: The causes and consequences of leaving and staying with employers,,"P Boxall, K Macky, E Rasmussen (2003). Labour turnover and retention in New Zealand: The causes and consequences of leaving and staying with employers. … of Human Resources."
149,AEE Sobaih et al. (2020),2020,100,Journal of Human Resources,Herzberg's theory of motivation and job satisfaction: Does it work for hotel industry in developing countries?,,"AEE Sobaih, AM Hasanein (2020). Herzberg's theory of motivation and job satisfaction: Does it work for hotel industry in developing countries?. Journal of Human Resources in …."
150,K Shatila et al. (2019),2019,24,Journal of Human Resources,Factors affecting employee turnover: the case of Lebanese retail companies,,"K Shatila, M Alozian (2019). Factors affecting employee turnover: the case of Lebanese retail companies. Journal of Human Resources."
151,DR Just et al. (2013),2013,190,Journal of Human Resources,Using incentives to encourage healthy eating in children,,"DR Just, J Price (2013). Using incentives to encourage healthy eating in children. Journal of Human resources."
152,W Zhong et al. (2021),2021,12,Journal of Human Resources,Celebrating differences while reserving commonality: Work values of Chinese public organization employees,,"W Zhong, Y Bao, X Huang (2021). Celebrating differences while reserving commonality: Work values of Chinese public organization employees. … Journal of Human Resources."
153,RB DiPietro et al. (2014),2014,84,Journal of Human Resources,Motivation and satisfaction of lodging employees: An exploratory study of Aruba,,"RB DiPietro, SF Kline, T Nierop (2014). Motivation and satisfaction of lodging employees: An exploratory study of Aruba. Journal of Human Resources in …."
154,K Gow et al. (2008),2008,25,Journal of Human Resources,Work expectations and other factors influencing male apprentices' intentions to quit their trade,,"K Gow, C Hinschen, D Anthony (2008). Work expectations and other factors influencing male apprentices' intentions to quit their trade. … of Human Resources."
155,K Zoellner et al. (2022),2022,4,Journal of Human Resources,Enhancing Employees' Motivation Amid the Crisis of COVID-19,,"K Zoellner, R Sulikova (2022). Enhancing Employees' Motivation Amid the Crisis of COVID-19. Journal of Human Resources …."
156,ML Huo et al. (2017),2017,50,Journal of Human Resources,Lean production and the well‐being of the frontline manager: the job demands–resources model as a diagnostic tool in Chinese manufacturing,,"ML Huo, P Boxall (2017). Lean production and the well‐being of the frontline manager: the job demands–resources model as a diagnostic tool in Chinese manufacturing. Asia Pacific Journal of Human Resources."
157,GJ Duncan (1976),1976,233,Journal of Human Resources,Earnings functions and nonpecuniary benefits,,GJ Duncan (1976). Earnings functions and nonpecuniary benefits. Journal of Human Resources.
158,R Satyawadi et al. (2012),2012,23,Journal of Human Resources,Motivation and work values in Indian public and private sector enterprises: A comparative study,,"R Satyawadi, P Ghosh (2012). Motivation and work values in Indian public and private sector enterprises: A comparative study. … Journal of Human Resources …."
159,CK Nguyen et al. (2023),2023,1,Journal of Human Resources,Do local and non-local Millennials in Vietnam have similar Job attitudes?,,"CK Nguyen, F Junaid (2023). Do local and non-local Millennials in Vietnam have similar Job attitudes?. … Journal of Human Resources …."
160,T Grubb (2007),2007,163,Journal of Human Resources,Performance appraisal reappraised: It's not all positive,,T Grubb (2007). Performance appraisal reappraised: It's not all positive. Journal of Human Resources Education.
161,L Borghans et al. (2008),2008,3205,Journal of Human Resources,The economics and psychology of personality traits,,"L Borghans, AL Duckworth, JJ Heckman (2008). The economics and psychology of personality traits. … of human Resources."
162,MG Tharanganie et al. (2021),2021,6,Journal of Human Resources,The role of psychological empowerment on human resource-related performance outcomes among Generation Y employees in the hotel industry in Sri Lanka,,"MG Tharanganie, GDN Perera (2021). The role of psychological empowerment on human resource-related performance outcomes among Generation Y employees in the hotel industry in Sri Lanka. Journal of Human Resources in …."
163,SA Park et al. (2017),2017,31,Journal of Human Resources,Perceptions of determinants of job selection in the hospitality and tourism industry: The case of Korean university students,,"SA Park, H Kim, KW Lee (2017). Perceptions of determinants of job selection in the hospitality and tourism industry: The case of Korean university students. Journal of Human Resources in …."
164,SS Pasumarti et al. (2022),2022,8,Journal of Human Resources,"HR practices, affective commitment and creative task performance: a review and futuristic research agenda",,"SS Pasumarti, M Kumar (2022). HR practices, affective commitment and creative task performance: a review and futuristic research agenda. … of Human Resources …."
165,Z Nawaz et al. (2020),2020,19,Journal of Human Resources,Freelancers as part-time employees: Dimensions of FVP and FJS in E-lancing platforms,,"Z Nawaz, J Zhang, R Mansoor (2020). Freelancers as part-time employees: Dimensions of FVP and FJS in E-lancing platforms. … Human Resources …."
166,NH Che Ahmat et al. (2019),2019,5,Journal of Human Resources,The impact of national minimum wage policy on Malaysian hotel employees,,"NH Che Ahmat, SW Arendt (2019). The impact of national minimum wage policy on Malaysian hotel employees. Journal of Human Resources in …."
167,C George et al. (2020),2020,34,Journal of Human Resources,Employee engagement: a mediator between organizational inducements and industry loyalty among workers in the hospitality industry in Uganda,,"C George, OS Omuudu, K Francis (2020). Employee engagement: a mediator between organizational inducements and industry loyalty among workers in the hospitality industry in Uganda. Journal of Human Resources …."
168,C Yao et al. (2016),2016,24,Journal of Human Resources,Exploring motivations in C hinese corporate expatriation through the lens of C onfucianism,,"C Yao, J Arrowsmith, K Thorn (2016). Exploring motivations in C hinese corporate expatriation through the lens of C onfucianism. … Journal of Human Resources."
169,L Borghans et al. (2008),2008,57,Journal of Human Resources,The economics and psychology of cognitive and non-cognitive traits,,"L Borghans, AL Duckworth, JJ Heckman (2008). The economics and psychology of cognitive and non-cognitive traits. … of Human Resources."
170,SE Mayer et al. (2015),2015,117,Journal of Human Resources,Using behavioral insights to increase parental engagement,,"SE Mayer, A Kalil, P Oreopoulos (2015). Using behavioral insights to increase parental engagement. … HUMAN RESOURCES."
171,OW Aho (2020),2020,13,Journal of Human Resources,The link between job satisfaction and the intent to leave among casino employees,,OW Aho (2020). The link between job satisfaction and the intent to leave among casino employees. Journal of Human Resources in Hospitality & Tourism.
172,B Dimitrios (2014),2014,26,Journal of Human Resources,"ORGANIZATIONAL CULTURE AND JOB SATISFACTION, IN BANKING SECTOR–A REVIEW",,"B Dimitrios (2014). ORGANIZATIONAL CULTURE AND JOB SATISFACTION, IN BANKING SECTOR–A REVIEW. International Journal of Human Resources …."
173,R Douven et al. (2019),2019,21,Journal of Human Resources,Do altruistic mental health care providers have better treatment outcomes?,,"R Douven, M Remmerswaal (2019). Do altruistic mental health care providers have better treatment outcomes?. … of Human Resources."
174,A Ardichvili et al. (NA),NA,0,Journal of Human Resources,K Peter Kuchinke,,"A Ardichvili, M Borchert, EB Cornachione Jr (NA). K Peter Kuchinke. … of Human Resources."
175,LL Onnis et al. (2016),2016,36,Journal of Human Resources,Health professionals working in remote A ustralia: a review of the literature,,"LL Onnis, J Pryce (2016). Health professionals working in remote A ustralia: a review of the literature. Asia Pacific Journal of Human Resources."
176,OM Ali Ababneh et al. (2021),2021,58,Journal of Human Resources,… between green human resources practices and employee engagement with environmental initiatives in hotels: The moderation effect of perceived transformational …,,"OM Ali Ababneh, AS Awwad (2021). … between green human resources practices and employee engagement with environmental initiatives in hotels: The moderation effect of perceived transformational …. … of Human Resources in …."
177,E Ndua (NA),NA,0,Journal of Human Resources,"W,. Wambua, P.(2017)",,"E Ndua (NA). W,. Wambua, P.(2017). … , Kenya. International Journal of Human Resources …."
178,HM Ramos et al. (2021),2021,11,Journal of Human Resources,Organizational support and pro-organizational behaviors in hotel family-SMEs: The role of emotional intelligence,,"HM Ramos, M Mustafa, D Caspersz (2021). Organizational support and pro-organizational behaviors in hotel family-SMEs: The role of emotional intelligence. … of Human resources …."
179,M Brown (2001),2001,2,Journal of Human Resources,Employee pay adjustment preferences: Recent Australian evidence,,M Brown (2001). Employee pay adjustment preferences: Recent Australian evidence. Asia Pacific Journal of Human Resources.
180,R Morrison et al. (2018),2018,6,Journal of Human Resources,Relishing competence or avoiding the stretch assignment? Gender differences in what makes employees “love” work,,"R Morrison, K Owler (2018). Relishing competence or avoiding the stretch assignment? Gender differences in what makes employees “love” work. New Zealand Journal of Human Resources …."
181,SHJ Chan et al. (2019),2019,13,Journal of Human Resources,The work values and job involvement of Post-80s employees in the hospitality and tourism industry: empirical evidence from Macau,,"SHJ Chan, SH Kong, CK Lei (2019). The work values and job involvement of Post-80s employees in the hospitality and tourism industry: empirical evidence from Macau. Journal of Human Resources in …."
182,SE Mayer et al. (2019),2019,138,Journal of Human Resources,Using behavioral insights to increase parental engagement: The parents and children together intervention,,"SE Mayer, A Kalil, P Oreopoulos (2019). Using behavioral insights to increase parental engagement: The parents and children together intervention. … of Human Resources."
183,MP Newnham et al. (2022),2022,6,Journal of Human Resources,"Knowledge sharing among hotel workers in Dubai, UAE",,"MP Newnham, CS Dutt (2022). Knowledge sharing among hotel workers in Dubai, UAE. Journal of Human Resources in …."
184,P Murray et al. (2005),2005,42,Journal of Human Resources,Critical issues in managing age diversity in Australia,,"P Murray, J Syed (2005). Critical issues in managing age diversity in Australia. Asia Pacific Journal of Human Resources."
185,W Barkat et al. (2024),2024,2,Journal of Human Resources,"Transformational leadership and frontline managers work engagement, innovative work behavior, organizational citizenship behavior, and employee sustainability in …",,"W Barkat, I Waris, R Ahmed, M Dad (2024). Transformational leadership and frontline managers work engagement, innovative work behavior, organizational citizenship behavior, and employee sustainability in …. Journal of Human Resources …."
186,R Law et al. (2007),2007,34,Journal of Human Resources,Employees' perceptions of performance appraisal: The case of an upscale hotel in Hong Kong,,"R Law, P Tam (2007). Employees' perceptions of performance appraisal: The case of an upscale hotel in Hong Kong. Journal of Human Resources in Hospitality & …."
187,S Shree et al. (2019),2019,19,Journal of Human Resources,Exploring gamification for recruitment through actor network theory,,"S Shree, AS Singh (2019). Exploring gamification for recruitment through actor network theory. … Asian Journal of Human Resources …."
188,AAM Osman-Gani et al. (2016),2016,31,Journal of Human Resources,Factors influencing the retention of international IT talent: an empirical investigation in Singapore,,"AAM Osman-Gani, Y Paik (2016). Factors influencing the retention of international IT talent: an empirical investigation in Singapore. … Journal of Human Resources …."
189,CY Tseng et al. (2012),2012,0,Journal of Human Resources,Retention Factors Perceived by Software Development Employees in Taiwan.,,"CY Tseng, M Wallace (2012). Retention Factors Perceived by Software Development Employees in Taiwan.. … Journal of Human Resources …."
190,R Cacioppe et al. (1990),1990,24,Journal of Human Resources,Trends in human resource development and training,,"R Cacioppe, P Warren‐Langford (1990). Trends in human resource development and training. … of Human Resources."
191,Y Paik et al. (2002),2002,6,Journal of Human Resources,Comparing US and Russian management styles: the influence of cultures on cooperative business ventures,,"Y Paik, A Zuplev, C Vance (2002). Comparing US and Russian management styles: the influence of cultures on cooperative business ventures. … Journal of Human Resources …."
192,C Harteis (2012),2012,37,Journal of Human Resources,When workplace learning fails: individual and organisational limitations–exemplarily demonstrated by the issue of responsibility in work life,,C Harteis (2012). When workplace learning fails: individual and organisational limitations–exemplarily demonstrated by the issue of responsibility in work life. International Journal of Human Resources ….
193,PS Kirkbride et al. (1994),1994,27,Journal of Human Resources,From Kyoto to Kowloon: Cultural barriers to the transference of quality circles from Japan to Hong Kong,,"PS Kirkbride, SFY Tang (1994). From Kyoto to Kowloon: Cultural barriers to the transference of quality circles from Japan to Hong Kong. … Pacific Journal of Human Resources."
194,SW Arendt et al. (2014),2014,45,Journal of Human Resources,Motivating foodservice employees to follow safe food handling practices: Perspectives from a multigenerational workforce,,"SW Arendt, KR Roberts, C Strohbehn (2014). Motivating foodservice employees to follow safe food handling practices: Perspectives from a multigenerational workforce. … of Human Resources …."
195,JR McColl‐Kennedy et al. (2000),2000,6,Journal of Human Resources,Success: What do women and men really think it means?,,"JR McColl‐Kennedy, SJ Dann (2000). Success: What do women and men really think it means?. … Journal of Human Resources."
196,S Rai (2004),2004,4,Journal of Human Resources,"Values, culture and organisation: the relevance",,"S Rai (2004). Values, culture and organisation: the relevance. International Journal of Human Resources …."
197,DTH Nhung et al. (2024),2024,0,Journal of International Economics,"High-performance work system based on the AMO model, knowledge sharing, and employee performance in Vietnam's private firms",,"DTH Nhung, LB Phong, B Lusk (2024). High-performance work system based on the AMO model, knowledge sharing, and employee performance in Vietnam's private firms. … of International Economics and …."
198,N Ajzenman et al. (2024),2024,35,Journal of Labor Economics,Altruism or money? Reducing teacher sorting using behavioral strategies in Peru,,"N Ajzenman, E Bertoni, G Elacqua (2024). Altruism or money? Reducing teacher sorting using behavioral strategies in Peru. … of Labor Economics."
199,F Englmaier et al. (2024),2024,4,Journal of Labor Economics,The Efficacy of Tournaments for Nonroutine Team Tasks,,"F Englmaier, S Grimm, D Grothe (2024). The Efficacy of Tournaments for Nonroutine Team Tasks. … of Labor Economics."
200,C Bradler et al. (2019),2019,44,Journal of Labor Economics,Incentivizing creativity: A large-scale experiment with performance bonuses and gifts,,"C Bradler, S Neckermann (2019). Incentivizing creativity: A large-scale experiment with performance bonuses and gifts. … of Labor Economics."
201,AJ Oswald et al. (2015),2015,1767,Journal of Labor Economics,Happiness and productivity,,"AJ Oswald, E Proto, D Sgroi (2015). Happiness and productivity. Journal of labor economics."
202,M Beckmann et al. (2022),2022,14,Journal of Labor Economics,"Empowerment, task commitment, and performance pay",,"M Beckmann, M Kräkel (2022). Empowerment, task commitment, and performance pay. Journal of Labor Economics."
203,G Charness (2004),2004,644,Journal of Labor Economics,Attribution and reciprocity in an experimental labor market,,G Charness (2004). Attribution and reciprocity in an experimental labor market. Journal of labor Economics.
204,D Sliwka et al. (2017),2017,68,Journal of Labor Economics,Wage increases and the dynamics of reciprocity,,"D Sliwka, P Werner (2017). Wage increases and the dynamics of reciprocity. Journal of Labor Economics."
205,JE De Bettignies et al. (2018),2018,53,Journal of Labor Economics,When is social responsibility socially desirable?,,"JE De Bettignies, DT Robinson (2018). When is social responsibility socially desirable?. … of Labor Economics."
206,L Bursztyn et al. (2019),2019,144,Journal of Political Economy,Moral incentives in credit card debt repayment: Evidence from a field experiment,,"L Bursztyn, S Fiorin, D Gottlieb (2019). Moral incentives in credit card debt repayment: Evidence from a field experiment. … of Political Economy."
207,K Pouliakas et al. (2009),2009,78,Journal of Political Economy,Confronting objections to performance pay: the impact of individual and gain‐sharing incentives on job satisfaction,,"K Pouliakas, I Theodossiou (2009). Confronting objections to performance pay: the impact of individual and gain‐sharing incentives on job satisfaction. … journal of political economy."
208,J Schnellenbach et al. (2015),2015,191,Journal of Political Economy,Behavioral political economy: A survey,,"J Schnellenbach, C Schubert (2015). Behavioral political economy: A survey. European Journal of Political Economy."
209,M Gaynor et al. (2004),2004,179,Journal of Political Economy,Physician incentives in health maintenance organizations,,"M Gaynor, JB Rebitzer (2004). Physician incentives in health maintenance organizations. … of Political Economy."
210,S Kaur et al. (2015),2015,364,Journal of Political Economy,Self-control at work,,"S Kaur, M Kremer (2015). Self-control at work. … of Political Economy."
211,E Fehr et al. (1999),1999,804,Journal of Political Economy,Wage rigidity in a competitive incomplete contract market,,"E Fehr, A Falk (1999). Wage rigidity in a competitive incomplete contract market. Journal of political Economy."
212,BS Frey et al. (1996),1996,574,Journal of Political Economy,The old lady visits your backyard: A tale of morals and markets,,"BS Frey, F Oberholzer-Gee (1996). The old lady visits your backyard: A tale of morals and markets. … of political economy."
213,F Englmaier et al. (2024),2024,12,Journal of Political Economy,The Effect of Incentives in Nonroutine Analytical Team Tasks,,"F Englmaier, S Grimm, D Grothe (2024). The Effect of Incentives in Nonroutine Analytical Team Tasks. … of Political Economy."
214,G Friebel et al. (2023),2023,31,Journal of Political Economy,What do employee referral programs do? Measuring the direct and overall effects of a management practice,,"G Friebel, M Heinz, M Hoffman (2023). What do employee referral programs do? Measuring the direct and overall effects of a management practice. … of Political Economy."
215,A Isoni et al. (2023),2023,5,Journal of Political Economy,Voluntary interaction and the Principle of Mutual Benefit,,"A Isoni, R Sugden, J Zheng (2023). Voluntary interaction and the Principle of Mutual Benefit. Journal of Political Economy."
216,M Dean et al. (2023),2023,165,Journal of Political Economy,Experimental tests of rational inattention,,"M Dean, N Neligh (2023). Experimental tests of rational inattention. Journal of Political Economy."
217,M Fioretti (2022),2022,10,Journal of Political Economy,"Caring or pretending to care? social impact, firms' objectives, and welfare",,"M Fioretti (2022). Caring or pretending to care? social impact, firms' objectives, and welfare. Journal of Political Economy."
218,R Bénabou et al. (2004),2004,851,Journal of Political Economy,Willpower and personal rules,,"R Bénabou, J Tirole (2004). Willpower and personal rules. Journal of Political Economy."
219,G Kirchgässner (2010),2010,44,Journal of Political Economy,On minimal morals,,G Kirchgässner (2010). On minimal morals. European Journal of Political Economy.
220,S Büchner et al. (2004),2004,23,Journal of Political Economy,Incentive contracts versus trust in three-person ultimatum games: an experimental study,,"S Büchner, LG González, W Güth, MV Levati (2004). Incentive contracts versus trust in three-person ultimatum games: an experimental study. … Journal of Political Economy."
221,E Fehr et al. (1999),1999,1,Journal of Political Economy,Wage Rigidity in a Competitive lncomplete,,"E Fehr, A Falk (1999). Wage Rigidity in a Competitive lncomplete. The Journal of Political Economy."
222,K Music et al. (2020),2020,0,Journal of Political Economy,Why biased agencies could be the best monitors,,"K Music, C Salzmann (2020). Why biased agencies could be the best monitors. European Journal of Political Economy."
223,MJ Holler et al. (2010),2010,22,Journal of Political Economy,Efficiency and justice revisited,,"MJ Holler, M Leroch (2010). Efficiency and justice revisited. European Journal of Political Economy."
224,B Walker (2000),2000,23,Journal of Political Economy,Monitoring and motivation in principal‐agent relationships: some issues in the case of local authority services,,B Walker (2000). Monitoring and motivation in principal‐agent relationships: some issues in the case of local authority services. Scottish Journal of Political Economy.
225,R Muramatsu et al. (2021),2021,17,Journal of Political Economy,Behavioral economics of corruption and its implications,,"R Muramatsu, AMAF Bianchi (2021). Behavioral economics of corruption and its implications. Brazilian Journal of Political Economy."
226,PC Boyer et al. (2016),2016,32,Journal of Public Economics,Do norms on contribution behavior affect intrinsic motivation? field-experimental evidence from germany,,"PC Boyer, N Dwenger, J Rincke (2016). Do norms on contribution behavior affect intrinsic motivation? field-experimental evidence from germany. Journal of Public Economics."
227,N Ashraf et al. (2014),2014,657,Journal of Public Economics,"No margin, no mission? A field experiment on incentives for public service delivery",,"N Ashraf, O Bandiera, BK Jack (2014). No margin, no mission? A field experiment on incentives for public service delivery. Journal of public economics."
228,PE Carrillo et al. (2021),2021,71,Journal of Public Economics,Public good provision and property tax compliance: Evidence from a natural experiment,,"PE Carrillo, E Castro, C Scartascini (2021). Public good provision and property tax compliance: Evidence from a natural experiment. Journal of Public Economics."
229,C Delavallade (2021),2021,11,Journal of Public Economics,Motivating teams: Private feedback and public recognition at work,,C Delavallade (2021). Motivating teams: Private feedback and public recognition at work. Journal of Public Economics.
230,S Onderstal et al. (2013),2013,42,Journal of Public Economics,Bidding to give in the field,,"S Onderstal, AJHC Schram, AR Soetevent (2013). Bidding to give in the field. Journal of Public Economics."
231,Y Oswald et al. (2014),2014,37,Journal of Public Economics,Learning for a bonus: How financial incentives interact with preferences,,"Y Oswald, U Backes-Gellner (2014). Learning for a bonus: How financial incentives interact with preferences. Journal of Public Economics."
232,S Onderstal et al. (2014),2014,0,Journal of Public Economics,Reprint of: Bidding to give in the field,,"S Onderstal, AJHC Schram, AR Soetevent (2014). Reprint of: Bidding to give in the field. Journal of Public Economics."
233,JB Kessler et al. (2014),2014,50,Journal of Public Economics,Loopholes undermine donation: An experiment motivated by an organ donation priority loophole in Israel,,"JB Kessler, AE Roth (2014). Loopholes undermine donation: An experiment motivated by an organ donation priority loophole in Israel. Journal of Public Economics."
234,S Linardi et al. (2011),2011,142,Journal of Public Economics,No excuses for good behavior: Volunteering and the social environment,,"S Linardi, MA McConnell (2011). No excuses for good behavior: Volunteering and the social environment. Journal of Public Economics."
235,J Konow (2010),2010,282,Journal of Public Economics,Mixed feelings: Theories of and evidence on giving,,J Konow (2010). Mixed feelings: Theories of and evidence on giving. Journal of Public Economics.
236,J Konow et al. (2008),2008,426,Journal of Public Economics,The hedonistic paradox: Is homo economicus happier?,,"J Konow, J Earley (2008). The hedonistic paradox: Is homo economicus happier?. Journal of public Economics."
237,K Kotakorpi et al. (2011),2011,168,Journal of Public Economics,Pay for politicians and candidate selection: An empirical analysis,,"K Kotakorpi, P Poutvaara (2011). Pay for politicians and candidate selection: An empirical analysis. Journal of Public Economics."
238,E Auriol et al. (2014),2014,37,Journal of Public Economics,Anti-social behavior in profit and nonprofit organizations,,"E Auriol, S Brilon (2014). Anti-social behavior in profit and nonprofit organizations. Journal of Public Economics."
239,J Brandts et al. (2009),2009,108,Journal of Public Economics,"Competitive rivalry, social disposition, and subjective well-being: An experiment",,"J Brandts, A Riedl, F Van Winden (2009). Competitive rivalry, social disposition, and subjective well-being: An experiment. Journal of Public Economics."
240,T Li et al. (2014),2014,94,Journal of Public Economics,Encouraging classroom peer interactions: Evidence from Chinese migrant schools,,"T Li, L Han, L Zhang, S Rozelle (2014). Encouraging classroom peer interactions: Evidence from Chinese migrant schools. Journal of Public Economics."
241,E Xiao et al. (2011),2011,116,Journal of Public Economics,Punish in public,,"E Xiao, D Houser (2011). Punish in public. Journal of Public Economics."
242,C Giuletti et al. (2019),2019,2,Journal of the European Economic Association,Michael Vlassopoulos,,"C Giuletti, M Tonin (2019). Michael Vlassopoulos. … Journal of the European Economic Association."
243,ES Pagnotta (2022),2022,168,Review of Financial Studies,Decentralizing money: Bitcoin prices and blockchain security,,ES Pagnotta (2022). Decentralizing money: Bitcoin prices and blockchain security. The Review of Financial Studies.
244,N Dwenger et al. (2016),2016,516,Economic Journal,Extrinsic and intrinsic motivations for tax compliance: Evidence from a field experiment in Germany,,"N Dwenger, H Kleven, I Rasul, J Rincke (2016). Extrinsic and intrinsic motivations for tax compliance: Evidence from a field experiment in Germany. American Economic Journal …."
245,E Deserranno (2019),2019,217,Economic Journal,Financial incentives as signals: experimental evidence from the recruitment of village promoters in Uganda,,E Deserranno (2019). Financial incentives as signals: experimental evidence from the recruitment of village promoters in Uganda. American Economic Journal: Applied Economics.
246,AR Soetevent (2011),2011,98,Economic Journal,"Payment choice, image motivation and contributions to charity: evidence from a field experiment",,"AR Soetevent (2011). Payment choice, image motivation and contributions to charity: evidence from a field experiment. American Economic Journal: Economic Policy."
247,LC Coffman (2011),2011,227,Economic Journal,Intermediation reduces punishment (and reward),,LC Coffman (2011). Intermediation reduces punishment (and reward). American Economic Journal: Microeconomics.
248,SD Levitt et al. (2016),2016,551,Economic Journal,The behavioralist goes to school: Leveraging behavioral economics to improve educational performance,,"SD Levitt, JA List, S Neckermann (2016). The behavioralist goes to school: Leveraging behavioral economics to improve educational performance. … Economic Journal …."
249,K Ito et al. (2018),2018,358,Economic Journal,Moral suasion and economic incentives: Field experimental evidence from energy demand,,"K Ito, T Ida, M Tanaka (2018). Moral suasion and economic incentives: Field experimental evidence from energy demand. American Economic Journal: Economic Policy."
250,N Lacetera et al. (2012),2012,289,Economic Journal,Will there be blood? Incentives and displacement effects in pro-social behavior,,"N Lacetera, M Macis, R Slonim (2012). Will there be blood? Incentives and displacement effects in pro-social behavior. American Economic Journal …."
