Index,Formatted Author(s) and Year,Publication Year,Citation Count,Journal Name,Article Title,Additional Data,Full Citation
131,R Govindan et al. (2019),2019,91,Renewable and Sustainable Energy Reviews,"Computational decision framework for enhancing resilience of the energy, water and food nexus in risky environments",,"R Govindan, T Al-Ansari (2019). Computational decision framework for enhancing resilience of the energy, water and food nexus in risky environments. Renewable and Sustainable Energy Reviews."
132,G Petricli et al. (2024),2024,0,Renewable and Sustainable Energy Reviews,Identifying green citizen typologies by mining household-level survey data,,"G Petricli, T Inkaya, GG Emel (2024). Identifying green citizen typologies by mining household-level survey data. Renewable and Sustainable Energy …."
133,N Ajzenman et al. (2024),2024,35,Journal of Labor Economics,Altruism or money? Reducing teacher sorting using behavioral strategies in Peru,,"N Ajzenman, E Bertoni, G Elacqua (2024). Altruism or money? Reducing teacher sorting using behavioral strategies in Peru. … of Labor Economics."
134,F Englmaier et al. (2024),2024,4,Journal of Labor Economics,The Efficacy of Tournaments for Nonroutine Team Tasks,,"F Englmaier, S Grimm, D Grothe (2024). The Efficacy of Tournaments for Nonroutine Team Tasks. … of Labor Economics."
135,C Bradler et al. (2019),2019,44,Journal of Labor Economics,Incentivizing creativity: A large-scale experiment with performance bonuses and gifts,,"C Bradler, S Neckermann (2019). Incentivizing creativity: A large-scale experiment with performance bonuses and gifts. … of Labor Economics."
136,AJ Oswald et al. (2015),2015,1764,Journal of Labor Economics,Happiness and productivity,,"AJ Oswald, E Proto, D Sgroi (2015). Happiness and productivity. Journal of labor economics."
137,M Beckmann et al. (2022),2022,14,Journal of Labor Economics,"Empowerment, task commitment, and performance pay",,"M Beckmann, M Kräkel (2022). Empowerment, task commitment, and performance pay. Journal of Labor Economics."
138,G Charness (2004),2004,644,Journal of Labor Economics,Attribution and reciprocity in an experimental labor market,,G Charness (2004). Attribution and reciprocity in an experimental labor market. Journal of labor Economics.
139,D Sliwka et al. (2017),2017,68,Journal of Labor Economics,Wage increases and the dynamics of reciprocity,,"D Sliwka, P Werner (2017). Wage increases and the dynamics of reciprocity. Journal of Labor Economics."
140,JE De Bettignies et al. (2018),2018,53,Journal of Labor Economics,When is social responsibility socially desirable?,,"JE De Bettignies, DT Robinson (2018). When is social responsibility socially desirable?. … of Labor Economics."
141,C Giuletti et al. (2019),2019,2,Journal of the European Economic Association,Michael Vlassopoulos,,"C Giuletti, M Tonin (2019). Michael Vlassopoulos. … Journal of the European Economic Association."
142,DTH Nhung et al. (2024),2024,0,Journal of International Economics,"High-performance work system based on the AMO model, knowledge sharing, and employee performance in Vietnam's private firms",,"DTH Nhung, LB Phong, B Lusk (2024). High-performance work system based on the AMO model, knowledge sharing, and employee performance in Vietnam's private firms. … of International Economics and …."
143,E Deserranno (2019),2019,217,American Economic Journal: Applied Economics,Financial incentives as signals: experimental evidence from the recruitment of village promoters in Uganda,,E Deserranno (2019). Financial incentives as signals: experimental evidence from the recruitment of village promoters in Uganda. American Economic Journal: Applied Economics.
144,PA Celhay et al. (2019),2019,51,American Economic Journal: Applied Economics,Long-run effects of temporary incentives on medical care productivity,,"PA Celhay, PJ Gertler, P Giovagnoli (2019). Long-run effects of temporary incentives on medical care productivity. American Economic …."
145,P Celhay et al. (2015),2015,5,American Economic Journal: Applied Economics,Long-Term Effects of Temporary Incentives on Productivity in Medical Care Clinics,,"P Celhay, P Gertler, P Giovagnoli (2015). Long-Term Effects of Temporary Incentives on Productivity in Medical Care Clinics. American Economic …."
146,F Barrera-Osorio et al. (2019),2019,104,American Economic Journal: Applied Economics,Medium-and long-term educational consequences of alternative conditional cash transfer designs: Experimental evidence from Colombia,,"F Barrera-Osorio, LL Linden (2019). Medium-and long-term educational consequences of alternative conditional cash transfer designs: Experimental evidence from Colombia. … Economic Journal: Applied …."
147,MB Nyqvist et al. (2019),2019,68,American Economic Journal: Applied Economics,Reducing child mortality in the last mile: experimental evidence on community health promoters in Uganda,,"MB Nyqvist, A Guariso, J Svensson (2019). Reducing child mortality in the last mile: experimental evidence on community health promoters in Uganda. American Economic …."
148,M Björkman Nyqvist et al. (2018),2018,65,American Economic Journal: Applied Economics,Incentivizing safer sexual behavior: evidence from a lottery experiment on HIV prevention,,"M Björkman Nyqvist, L Corno, D De Walque (2018). Incentivizing safer sexual behavior: evidence from a lottery experiment on HIV prevention. American Economic …."
149,N Dwenger et al. (2016),2016,516,Economic Policy,Extrinsic and intrinsic motivations for tax compliance: Evidence from a field experiment in Germany,,"N Dwenger, H Kleven, I Rasul, J Rincke (2016). Extrinsic and intrinsic motivations for tax compliance: Evidence from a field experiment in Germany. … Journal: Economic Policy."
150,K Ito et al. (2018),2018,358,Economic Policy,Moral suasion and economic incentives: Field experimental evidence from energy demand,,"K Ito, T Ida, M Tanaka (2018). Moral suasion and economic incentives: Field experimental evidence from energy demand. American Economic Journal: Economic Policy."
151,SD Levitt et al. (2016),2016,551,Economic Policy,The behavioralist goes to school: Leveraging behavioral economics to improve educational performance,,"SD Levitt, JA List, S Neckermann (2016). The behavioralist goes to school: Leveraging behavioral economics to improve educational performance. … Journal: Economic Policy."
152,AR Soetevent (2011),2011,98,Economic Policy,"Payment choice, image motivation and contributions to charity: evidence from a field experiment",,"AR Soetevent (2011). Payment choice, image motivation and contributions to charity: evidence from a field experiment. American Economic Journal: Economic Policy."
153,N Lacetera et al. (2012),2012,289,Economic Policy,Will there be blood? Incentives and displacement effects in pro-social behavior,,"N Lacetera, M Macis, R Slonim (2012). Will there be blood? Incentives and displacement effects in pro-social behavior. … Economic Journal: Economic Policy."
154,B ter Weel et al. (2013),2013,1,Economic Policy,The importance of intrinsic and exrinsic motivation for measuring IQ,,"B ter Weel, L Borghans, H Meijers (2013). The importance of intrinsic and exrinsic motivation for measuring IQ. NA."
155,K Ito et al. (2018),2018,0,Economic Policy,"Revised version published in American Economic Journal: Economic Policy, 2018, 10 (1)",,"K Ito, T Ida, M Tanaka (2018). Revised version published in American Economic Journal: Economic Policy, 2018, 10 (1). … Economic Journal: Economic Policy."
156,TA Homonoff (2018),2018,228,Economic Policy,Can small incentives have large effects? The impact of taxes versus bonuses on disposable bag use,,TA Homonoff (2018). Can small incentives have large effects? The impact of taxes versus bonuses on disposable bag use. American Economic Journal: Economic Policy.
157,M Baggio et al. (2023),2023,1,Economic Policy,Employees' reaction to gender pay transparency: an online experiment,,"M Baggio, G Marandola (2023). Employees' reaction to gender pay transparency: an online experiment. Economic policy."
158,E Mustajbašić et al. (2016),2016,11,Economic Policy,Impact of culture on work motivation: Case of Bosnia and Herzegovina,,"E Mustajbašić, D Husaković (2016). Impact of culture on work motivation: Case of Bosnia and Herzegovina. … of Business & Economic Policy."
159,K Turk et al. (2014),2014,3,Economic Policy,Performance Management of Academic Staff on the Example of the Faculties of Economics in University of Tartu and in Tallinn University of Technology,,"K Turk, E Killumets (2014). Performance Management of Academic Staff on the Example of the Faculties of Economics in University of Tartu and in Tallinn University of Technology. Discussions on Estonian Economic Policy: EU …."
160,A Niessen-Ruenzi et al. (2014),2014,13,Economic Policy,To Pay or Not to Pay-Evidence from Whole Blood Donations in Germany,,"A Niessen-Ruenzi, M Weber (2014). To Pay or Not to Pay-Evidence from Whole Blood Donations in Germany. … Economic …."
161,E Killumets et al. (2014),2014,0,Economic Policy,PERFORMANCE MANAGEMENT OF ACADEMIC STAFF ON THE EXAMPLE OF THE FACULTIES OF ECONOMICS IN UNIVERSITY OF TARTU AND IN …,,"E Killumets, K Türk (2014). PERFORMANCE MANAGEMENT OF ACADEMIC STAFF ON THE EXAMPLE OF THE FACULTIES OF ECONOMICS IN UNIVERSITY OF TARTU AND IN …. … ECONOMIC POLICY EU Member States after the …."
162,S Grönblom et al. (2014),2014,26,Economic Policy,"Organisational form and individual motivation: public ownership, privatisation and fat cats",,"S Grönblom, J Willner (2014). Organisational form and individual motivation: public ownership, privatisation and fat cats. Journal of Economic Policy Reform."
163,K Türk et al. (2014),2014,0,Economic Policy,Performance Management of Academic Staff on the Example of the Faculties of Economics in University of Tartu and in Tallinn University of Technology,,"K Türk, E Killumets (2014). Performance Management of Academic Staff on the Example of the Faculties of Economics in University of Tartu and in Tallinn University of Technology. Estonian Discussions on Economic Policy."
164,B Jacobs et al. (2006),2006,369,Economic Policy,Guide to reform of higher education: a European perspective,,"B Jacobs, F Van Der Ploeg (2006). Guide to reform of higher education: a European perspective. Economic Policy."
165,K Ferree et al. (2015),2015,2,Economic Policy,Using Technology to Promote Participation in Emerging Democracies: VIP: Voice and the 2014 South African Election,,"K Ferree, C Gibson, DF Jung, JD Long (2015). Using Technology to Promote Participation in Emerging Democracies: VIP: Voice and the 2014 South African Election. … Economic Policy …."
166,K Ito (2015),2015,151,Economic Policy,Asymmetric incentives in subsidies: Evidence from a large-scale electricity rebate program,,K Ito (2015). Asymmetric incentives in subsidies: Evidence from a large-scale electricity rebate program. American Economic Journal: Economic Policy.
167,J Stiglitz (1999),1999,495,Economic Policy,Public policy for a knowledge economy,,J Stiglitz (1999). Public policy for a knowledge economy. … and Industry and Center for Economic Policy ….
168,P Nandru et al. (2024),2024,2,Economic Policy,"Socioeconomic determinants of ownership of payment cards, mobile money account, and government remittances of digital financial services: evidence from India",,"P Nandru, M Chendragiri (2024). Socioeconomic determinants of ownership of payment cards, mobile money account, and government remittances of digital financial services: evidence from India. … Financial Economic Policy."
169,W Kopczuk (2006),2006,50,Economic Policy,Tax simplification and tax compliance: An economic perspective,,W Kopczuk (2006). Tax simplification and tax compliance: An economic perspective. Bridging the tax gap. Addressing the crisis in tax ….
170,T Cunningham et al. (2022),2022,10,Economic Policy,Implicit preferences,,"T Cunningham, J De Quidt (2022). Implicit preferences. NA."
171,H Horta (2023),2023,10,Economic Policy,Emerging and near future challenges of higher education in East Asia,,H Horta (2023). Emerging and near future challenges of higher education in East Asia. Asian Economic Policy Review.
172,J Stiglitz (1999),1999,75,Economic Policy,Knowledge in the modern economy,,J Stiglitz (1999). Knowledge in the modern economy. The economics of the knowledge driven economy.
173,DI Levine et al. (1995),1995,13,Economic Policy,A quality policy for America,,"DI Levine, S Helper (1995). A quality policy for America. Contemporary Economic Policy."
174,J Niebloom (2011),2011,0,Economic Policy,"Approaches to Antitrust Analysis: Historical and Modern Objectives, Economic Policy Concerns, and the Theoretical Underpinnings of the Statutory and Adjudicative …",,"J Niebloom (2011). Approaches to Antitrust Analysis: Historical and Modern Objectives, Economic Policy Concerns, and the Theoretical Underpinnings of the Statutory and Adjudicative …. Economic Policy Concerns, and the Theoretical …."
175,JP Platteau et al. (2019),2019,0,Economic Policy,The dynamics of family systems: lessons from past and present times,,"JP Platteau, C Guirkinger (2019). The dynamics of family systems: lessons from past and present times. NA."
176,JA Robinson et al. (2021),2021,0,Economic Policy,"Culture, Institutions, and Equilibria: A Framework",,"JA Robinson, D Acemoglu (2021). Culture, Institutions, and Equilibria: A Framework. NA."
177,K Murdock (2002),2002,261,RAND Journal of Economics,Intrinsic motivation and optimal incentive contracts,,K Murdock (2002). Intrinsic motivation and optimal incentive contracts. RAND Journal of Economics.
178,F Schuett (2013),2013,53,RAND Journal of Economics,Patent quality and incentives at the patent office,,F Schuett (2013). Patent quality and incentives at the patent office. The RAND Journal of Economics.
179,J Zábojník (2014),2014,53,RAND Journal of Economics,Subjective evaluations with performance feedback,,J Zábojník (2014). Subjective evaluations with performance feedback. The RAND Journal of Economics.
180,N Dwenger et al. (2016),2016,516,Economic Journal,Extrinsic and intrinsic motivations for tax compliance: Evidence from a field experiment in Germany,,"N Dwenger, H Kleven, I Rasul, J Rincke (2016). Extrinsic and intrinsic motivations for tax compliance: Evidence from a field experiment in Germany. American Economic Journal …."
181,E Deserranno (2019),2019,217,Economic Journal,Financial incentives as signals: experimental evidence from the recruitment of village promoters in Uganda,,E Deserranno (2019). Financial incentives as signals: experimental evidence from the recruitment of village promoters in Uganda. American Economic Journal: Applied Economics.
182,AR Soetevent (2011),2011,98,Economic Journal,"Payment choice, image motivation and contributions to charity: evidence from a field experiment",,"AR Soetevent (2011). Payment choice, image motivation and contributions to charity: evidence from a field experiment. American Economic Journal: Economic Policy."
183,LC Coffman (2011),2011,227,Economic Journal,Intermediation reduces punishment (and reward),,LC Coffman (2011). Intermediation reduces punishment (and reward). American Economic Journal: Microeconomics.
184,SD Levitt et al. (2016),2016,551,Economic Journal,The behavioralist goes to school: Leveraging behavioral economics to improve educational performance,,"SD Levitt, JA List, S Neckermann (2016). The behavioralist goes to school: Leveraging behavioral economics to improve educational performance. … Economic Journal …."
185,K Ito et al. (2018),2018,358,Economic Journal,Moral suasion and economic incentives: Field experimental evidence from energy demand,,"K Ito, T Ida, M Tanaka (2018). Moral suasion and economic incentives: Field experimental evidence from energy demand. American Economic Journal: Economic Policy."
186,N Lacetera et al. (2012),2012,289,Economic Journal,Will there be blood? Incentives and displacement effects in pro-social behavior,,"N Lacetera, M Macis, R Slonim (2012). Will there be blood? Incentives and displacement effects in pro-social behavior. American Economic Journal …."
187,PA Celhay et al. (2019),2019,51,Economic Journal,Long-run effects of temporary incentives on medical care productivity,,"PA Celhay, PJ Gertler, P Giovagnoli (2019). Long-run effects of temporary incentives on medical care productivity. … Economic Journal …."
188,A Mokhniuk et al. (2018),2018,22,Economic Journal,The impact of monetary and non-monetary factors of motivation on employee productivity,,"A Mokhniuk, L Yushchyshyna (2018). The impact of monetary and non-monetary factors of motivation on employee productivity. Economic journal of Lesya …."
189,SN Ali et al. (2013),2013,116,Economic Journal,Why people vote: Ethical motives and social incentives,,"SN Ali, C Lin (2013). Why people vote: Ethical motives and social incentives. American economic Journal: microeconomics."
190,N Bengtsson et al. (2014),2014,31,Economic Journal,Replacing trust with control: a field test of motivation crowd out theory,,"N Bengtsson, P Engström (2014). Replacing trust with control: a field test of motivation crowd out theory. The Economic Journal."
191,TA Homonoff (2018),2018,228,Economic Journal,Can small incentives have large effects? The impact of taxes versus bonuses on disposable bag use,,TA Homonoff (2018). Can small incentives have large effects? The impact of taxes versus bonuses on disposable bag use. American Economic Journal: Economic Policy.
192,L Barrow et al. (2020),2020,3,Economic Journal,Who Has the Time? Community College Students' Time-Use Response to Financial Incentives,,"L Barrow, CE Rouse, A McFarland (2020). Who Has the Time? Community College Students' Time-Use Response to Financial Incentives. Atlantic Economic Journal."
193,P Celhay et al. (2015),2015,5,Economic Journal,Long-Term Effects of Temporary Incentives on Productivity in Medical Care Clinics,,"P Celhay, P Gertler, P Giovagnoli (2015). Long-Term Effects of Temporary Incentives on Productivity in Medical Care Clinics. … Economic Journal …."
194,K Ito et al. (2018),2018,0,Economic Journal,"Revised version published in American Economic Journal: Economic Policy, 2018, 10 (1)",,"K Ito, T Ida, M Tanaka (2018). Revised version published in American Economic Journal: Economic Policy, 2018, 10 (1). American Economic Journal: Economic …."
195,W Chen (2019),2019,4,Economic Journal,Income and effort: An Instrumental variables approach,,W Chen (2019). Income and effort: An Instrumental variables approach. Atlantic Economic Journal.
196,OA Ihensekien et al. (2023),2023,38,Economic Journal,Abraham Maslow's Hierarchy of Needs and Frederick Herzberg's Two-Factor Motivation Theories: Implications for Organizational Performance,,"OA Ihensekien, AC Joel (2023). Abraham Maslow's Hierarchy of Needs and Frederick Herzberg's Two-Factor Motivation Theories: Implications for Organizational Performance. The Romanian Economic Journal."
197,P Ordine et al. (2024),2024,0,Economic Journal,The Effect of Priming Student Identity on IQ-Test Score: Evidence from a Randomized Control Trial,,"P Ordine, G Rose, A Mosca (2024). The Effect of Priming Student Identity on IQ-Test Score: Evidence from a Randomized Control Trial. Italian Economic Journal."
198,BS Frey (1997),1997,997,Economic Journal,A constitution for knaves crowds out civic virtues,,BS Frey (1997). A constitution for knaves crowds out civic virtues. The economic journal.
199,K Ito (2015),2015,151,Economic Journal,Asymmetric incentives in subsidies: Evidence from a large-scale electricity rebate program,,K Ito (2015). Asymmetric incentives in subsidies: Evidence from a large-scale electricity rebate program. American Economic Journal: Economic Policy.
200,J Rosłon (2020),2020,2,Economic Journal,Motivators and Demotivators for Employees,,J Rosłon (2020). Motivators and Demotivators for Employees. Olsztyn Economic Journal.
201,AS Kritikos et al. (2009),2009,4,Economic Journal,Indenture as a Self‐Enforced Contract Device: An Experimental Test,,"AS Kritikos, JHW Tan (2009). Indenture as a Self‐Enforced Contract Device: An Experimental Test. Southern Economic Journal."
202,M Bielicki et al. (2022),2022,1,Economic Journal,How to create an engagement-friendly environment in reward-based crowdfunding?,,"M Bielicki, R Rydzewski (2022). How to create an engagement-friendly environment in reward-based crowdfunding?. Central European Economic Journal."
203,F Barrera-Osorio et al. (2019),2019,104,Economic Journal,Medium-and long-term educational consequences of alternative conditional cash transfer designs: Experimental evidence from Colombia,,"F Barrera-Osorio, LL Linden (2019). Medium-and long-term educational consequences of alternative conditional cash transfer designs: Experimental evidence from Colombia. … Economic Journal: Applied …."
204,A Kukla-Gryz et al. (2017),2017,5,Economic Journal,The effects of individual internal versus external reference prices on consumer decisions for pay-what-you-want payments,,"A Kukla-Gryz, K Zagórska (2017). The effects of individual internal versus external reference prices on consumer decisions for pay-what-you-want payments. Central European Economic Journal."
205,Ö Evren et al. (2017),2017,47,Economic Journal,Warm‐glow Giving and Freedom to be Selfish,,"Ö Evren, S Minardi (2017). Warm‐glow Giving and Freedom to be Selfish. The Economic Journal."
206,JB Falisse et al. (2024),2024,1,Economic Journal,Incentivizing Textbooks for Self-Study: Experimental Evidence from the Democratic Republic of the Congo,,"JB Falisse, M Huysentruyt, A Olofsgård (2024). Incentivizing Textbooks for Self-Study: Experimental Evidence from the Democratic Republic of the Congo. The Economic Journal."
207,MB Nyqvist et al. (2019),2019,68,Economic Journal,Reducing child mortality in the last mile: experimental evidence on community health promoters in Uganda,,"MB Nyqvist, A Guariso, J Svensson (2019). Reducing child mortality in the last mile: experimental evidence on community health promoters in Uganda. … Economic Journal …."
208,CJ Wichman et al. (2023),2023,3,Economic Journal,Preheating prosocial behaviour,,"CJ Wichman, NW Chan (2023). Preheating prosocial behaviour. The Economic Journal."
209,DG Arce (2017),2017,6,Economic Journal,Screening for managerial objectives,,DG Arce (2017). Screening for managerial objectives. Southern Economic Journal.
210,T Markussen et al. (2014),2014,61,Economic Journal,"Competition, cooperation and collective choice",,"T Markussen, E Reuben, JR Tyran (2014). Competition, cooperation and collective choice. The Economic Journal."
211,M Björkman Nyqvist et al. (2018),2018,65,Economic Journal,Incentivizing safer sexual behavior: evidence from a lottery experiment on HIV prevention,,"M Björkman Nyqvist, L Corno, D De Walque (2018). Incentivizing safer sexual behavior: evidence from a lottery experiment on HIV prevention. … Economic Journal …."
212,RC Butnaru et al. (2020),2020,3,Economic Journal,Heavy work investment from the perspective of cultural factors and outcomes by types of investors,,"RC Butnaru, A Anichiti, GIBAP Haller (2020). Heavy work investment from the perspective of cultural factors and outcomes by types of investors. … ECONOMIC journal."
213,T Besley et al. (2024),2024,2,Economic Journal,Trust and State Effectiveness: The Political Economy of Compliance,,"T Besley, S Dray (2024). Trust and State Effectiveness: The Political Economy of Compliance. The Economic Journal."
214,S ALIANE et al. (2021),2021,2,Economic Journal,Entrepreneurs' Personnel Characteristics and Their Impact on the Growth of SMEs.,,"S ALIANE, Z BERROUCHE (2021). Entrepreneurs' Personnel Characteristics and Their Impact on the Growth of SMEs.. Al Bashaer Economic Journal."
215,E Winter (2009),2009,45,Economic Journal,Incentive reversal,,E Winter (2009). Incentive reversal. American Economic Journal: Microeconomics.
216,J McCormack et al. (2014),2014,234,Economic Journal,Herding cats? Management and university performance,,"J McCormack, C Propper, S Smith (2014). Herding cats? Management and university performance. The Economic Journal."
217,T Besley et al. (2018),2018,157,Annual Review of Economics,Prosocial motivation and incentives,,"T Besley, M Ghatak (2018). Prosocial motivation and incentives. Annual Review of Economics."
218,D Pomeranz et al. (2019),2019,166,Annual Review of Economics,Taking state-capacity research to the field: Insights from collaborations with tax authorities,,"D Pomeranz, J Vila-Belda (2019). Taking state-capacity research to the field: Insights from collaborations with tax authorities. Annual Review of Economics."
219,L Bursztyn et al. (2017),2017,378,Annual Review of Economics,"Social image and economic behavior in the field: Identifying, understanding, and shaping social pressure",,"L Bursztyn, R Jensen (2017). Social image and economic behavior in the field: Identifying, understanding, and shaping social pressure. Annual Review of Economics."
220,O Blanchard et al. (2023),2023,64,Annual Review of Economics,The portfolio of economic policies needed to fight climate change,,"O Blanchard, C Gollier, J Tirole (2023). The portfolio of economic policies needed to fight climate change. Annual Review of Economics."
221,PC Boyer et al. (2016),2016,32,Journal of Public Economics,Do norms on contribution behavior affect intrinsic motivation? field-experimental evidence from germany,,"PC Boyer, N Dwenger, J Rincke (2016). Do norms on contribution behavior affect intrinsic motivation? field-experimental evidence from germany. Journal of Public Economics."
222,N Ashraf et al. (2014),2014,657,Journal of Public Economics,"No margin, no mission? A field experiment on incentives for public service delivery",,"N Ashraf, O Bandiera, BK Jack (2014). No margin, no mission? A field experiment on incentives for public service delivery. Journal of public economics."
223,PE Carrillo et al. (2021),2021,71,Journal of Public Economics,Public good provision and property tax compliance: Evidence from a natural experiment,,"PE Carrillo, E Castro, C Scartascini (2021). Public good provision and property tax compliance: Evidence from a natural experiment. Journal of Public Economics."
224,C Delavallade (2021),2021,11,Journal of Public Economics,Motivating teams: Private feedback and public recognition at work,,C Delavallade (2021). Motivating teams: Private feedback and public recognition at work. Journal of Public Economics.
225,S Onderstal et al. (2013),2013,42,Journal of Public Economics,Bidding to give in the field,,"S Onderstal, AJHC Schram, AR Soetevent (2013). Bidding to give in the field. Journal of Public Economics."
226,Y Oswald et al. (2014),2014,37,Journal of Public Economics,Learning for a bonus: How financial incentives interact with preferences,,"Y Oswald, U Backes-Gellner (2014). Learning for a bonus: How financial incentives interact with preferences. Journal of Public Economics."
227,S Onderstal et al. (2014),2014,0,Journal of Public Economics,Reprint of: Bidding to give in the field,,"S Onderstal, AJHC Schram, AR Soetevent (2014). Reprint of: Bidding to give in the field. Journal of Public Economics."
228,JB Kessler et al. (2014),2014,49,Journal of Public Economics,Loopholes undermine donation: An experiment motivated by an organ donation priority loophole in Israel,,"JB Kessler, AE Roth (2014). Loopholes undermine donation: An experiment motivated by an organ donation priority loophole in Israel. Journal of Public Economics."
229,S Linardi et al. (2011),2011,142,Journal of Public Economics,No excuses for good behavior: Volunteering and the social environment,,"S Linardi, MA McConnell (2011). No excuses for good behavior: Volunteering and the social environment. Journal of Public Economics."
230,J Konow (2010),2010,282,Journal of Public Economics,Mixed feelings: Theories of and evidence on giving,,J Konow (2010). Mixed feelings: Theories of and evidence on giving. Journal of Public Economics.
231,J Konow et al. (2008),2008,426,Journal of Public Economics,The hedonistic paradox: Is homo economicus happier?,,"J Konow, J Earley (2008). The hedonistic paradox: Is homo economicus happier?. Journal of public Economics."
232,K Kotakorpi et al. (2011),2011,168,Journal of Public Economics,Pay for politicians and candidate selection: An empirical analysis,,"K Kotakorpi, P Poutvaara (2011). Pay for politicians and candidate selection: An empirical analysis. Journal of Public Economics."
233,E Auriol et al. (2014),2014,37,Journal of Public Economics,Anti-social behavior in profit and nonprofit organizations,,"E Auriol, S Brilon (2014). Anti-social behavior in profit and nonprofit organizations. Journal of Public Economics."
234,J Brandts et al. (2009),2009,108,Journal of Public Economics,"Competitive rivalry, social disposition, and subjective well-being: An experiment",,"J Brandts, A Riedl, F Van Winden (2009). Competitive rivalry, social disposition, and subjective well-being: An experiment. Journal of Public Economics."
235,T Li et al. (2014),2014,94,Journal of Public Economics,Encouraging classroom peer interactions: Evidence from Chinese migrant schools,,"T Li, L Han, L Zhang, S Rozelle (2014). Encouraging classroom peer interactions: Evidence from Chinese migrant schools. Journal of Public Economics."
236,E Xiao et al. (2011),2011,116,Journal of Public Economics,Punish in public,,"E Xiao, D Houser (2011). Punish in public. Journal of Public Economics."
237,MM Bakhtiar et al. (2023),2023,15,Journal of Development Economics,Social and financial incentives for overcoming a collective action problem,,"MM Bakhtiar, RP Guiteras, J Levinsohn (2023). Social and financial incentives for overcoming a collective action problem. … Development Economics."
238,M Fracchia et al. (2023),2023,8,Journal of Development Economics,Motivating volunteer health workers in an african capital city,,"M Fracchia, T Molina-Millán, PC Vicente (2023). Motivating volunteer health workers in an african capital city. … of Development Economics."
239,M Chegere et al. (2024),2024,0,Journal of Development Economics,Social ties at work and effort choice: Experimental evidence from Tanzania,,"M Chegere, P Falco, A Menzel (2024). Social ties at work and effort choice: Experimental evidence from Tanzania. Journal of Development Economics."
240,JI Steinert et al. (2018),2018,40,Journal of Development Economics,Household economic strengthening through financial and psychosocial programming: evidence from a field experiment in South Africa,,"JI Steinert, LD Cluver, F Meinck, J Doubt (2018). Household economic strengthening through financial and psychosocial programming: evidence from a field experiment in South Africa. … Development Economics."
241,M Callen et al. (2020),2020,75,Journal of Development Economics,Data and policy decisions: Experimental evidence from Pakistan,,"M Callen, S Gulzar, A Hasanain, MY Khan (2020). Data and policy decisions: Experimental evidence from Pakistan. … Development Economics."
242,YJ Chen et al. (2018),2018,479,Journal of Development Economics,Career concerns and multitasking local bureaucrats: Evidence of a target-based performance evaluation system in China,,"YJ Chen, P Li, Y Lu (2018). Career concerns and multitasking local bureaucrats: Evidence of a target-based performance evaluation system in China. Journal of Development Economics."
243,J Berry et al. (2022),2022,5,Journal of Development Economics,When student incentives do not work: Evidence from a field experiment in Malawi,,"J Berry, HB Kim, HH Son (2022). When student incentives do not work: Evidence from a field experiment in Malawi. Journal of Development Economics."
244,S Byun (2022),2022,11,Journal of Banking & Finance,The role of intrinsic incentives and corporate culture in motivating innovation,,S Byun (2022). The role of intrinsic incentives and corporate culture in motivating innovation. Journal of Banking & Finance.
245,E Sheedy et al. (2019),2019,30,Journal of Banking & Finance,Incentives and culture in risk compliance,,"E Sheedy, L Zhang, KCH Tam (2019). Incentives and culture in risk compliance. Journal of Banking & Finance."
246,AC Brunen et al. (2022),2022,59,Journal of Banking & Finance,Do sustainable consumers prefer socially responsible investments? A study among the users of robo advisors,,"AC Brunen, O Laubach (2022). Do sustainable consumers prefer socially responsible investments? A study among the users of robo advisors. Journal of Banking & Finance."
247,S Drews et al. (2020),2020,48,Energy Policy,Assessing synergy of incentives and nudges in the energy policy mix,,"S Drews, F Exadaktylos, JCJM van den Bergh (2020). Assessing synergy of incentives and nudges in the energy policy mix. Energy Policy."
248,A Stauch et al. (2020),2020,13,Energy Policy,Cash vs. solar power: An experimental investigation of the remuneration-related design of community solar offerings,,"A Stauch, K Gamma (2020). Cash vs. solar power: An experimental investigation of the remuneration-related design of community solar offerings. Energy Policy."
249,DL Schall et al. (2016),2016,47,Energy Policy,Do effects of theoretical training and rewards for energy-efficient behavior persist over time and interact? A natural field experiment on eco-driving in a company fleet,,"DL Schall, M Wolf, A Mohnen (2016). Do effects of theoretical training and rewards for energy-efficient behavior persist over time and interact? A natural field experiment on eco-driving in a company fleet. Energy Policy."
250,JS Brandsma et al. (2019),2019,27,Energy Policy,One for all?–The impact of different types of energy feedback and goal setting on individuals' motivation to conserve electricity,,"JS Brandsma, JE Blasch (2019). One for all?–The impact of different types of energy feedback and goal setting on individuals' motivation to conserve electricity. Energy policy."
251,J Mahmoodi et al. (2018),2018,35,Energy Policy,Combining “carrot and stick” to incentivize sustainability in households,,"J Mahmoodi, A Prasanna, S Hille, MK Patel, T Brosch (2018). Combining “carrot and stick” to incentivize sustainability in households. Energy Policy."
252,G Alberts et al. (2016),2016,59,Energy Policy,Competition and norms: A self-defeating combination?,,"G Alberts, Z Gurguc, P Koutroumpis, R Martin, M Muûls (2016). Competition and norms: A self-defeating combination?. Energy Policy."
253,D Gadenne et al. (2011),2011,837,Energy Policy,The influence of consumers' environmental beliefs and attitudes on energy saving behaviours,,"D Gadenne, B Sharma, D Kerr, T Smith (2011). The influence of consumers' environmental beliefs and attitudes on energy saving behaviours. Energy policy."
